series,event,circuit_canonical,car_class,season,total_laps,non_green_or_pit,missing_tyre_age,field_wide_trimmed,per_car_trimmed,insufficient_car_laps,kept,pct_kept
imsa,Road America,Road America,GTDPRO,2024,596,246,0,47,33,0,270,45.3
imsa,Road America,Road America,GTDPRO,2025,614,212,0,50,39,0,313,51.0
imsa,Road Atlanta,Road Atlanta,GTDPRO,2022,2701,477,0,65,217,0,1942,71.9
imsa,Road Atlanta,Road Atlanta,GTDPRO,2023,2558,630,0,97,186,0,1645,64.3
imsa,Road Atlanta,Road Atlanta,GTDPRO,2024,4994,559,0,50,444,0,3941,78.9
imsa,Road Atlanta,Road Atlanta,GTDPRO,2025,3982,507,0,51,345,0,3079,77.3
imsa,Sebring,Sebring,GTDPRO,2022,3368,490,0,76,283,0,2519,74.8
imsa,Sebring,Sebring,GTDPRO,2023,2417,582,0,102,175,0,1558,64.5
imsa,Sebring,Sebring,GTDPRO,2024,3757,799,0,144,284,0,2530,67.3
imsa,Sebring,Sebring,GTDPRO,2025,3534,493,0,94,298,0,2649,75.0
imsa,Sebring,Sebring,GTDPRO,2026,3823,640,0,109,313,0,2761,72.2
imsa,VIR,VIR,GTDPRO,2022,430,36,0,5,40,0,349,81.2
imsa,VIR,VIR,GTDPRO,2023,403,56,0,10,35,0,302,74.9
imsa,VIR,VIR,GTDPRO,2024,745,58,0,21,69,0,597,80.1
imsa,VIR,VIR,GTDPRO,2025,782,111,0,28,68,0,575,73.5
imsa,Watkins Glen,Watkins Glen,GTDPRO,2022,1030,207,0,49,77,0,697,67.7
imsa,Watkins Glen,Watkins Glen,GTDPRO,2023,1519,233,0,34,128,0,1124,74.0
imsa,Watkins Glen,Watkins Glen,GTDPRO,2024,1489,467,0,71,97,0,854,57.4
imsa,Watkins Glen,Watkins Glen,GTDPRO,2025,1496,543,0,116,85,0,752,50.3
imsa,Watkins Glen,Watkins Glen,GTDPRO,2026,1902,527,0,89,133,0,1153,60.6
wec,Bahrain,Bahrain,HYPERCAR,2022,1143,70,0,12,107,0,954,83.5
wec,Bahrain,Bahrain,HYPERCAR,2023,2943,113,0,23,284,0,2523,85.7
wec,Bahrain,Bahrain,HYPERCAR,2024,3953,285,0,107,361,0,3200,81.0
wec,Bahrain,Bahrain,HYPERCAR,2025,4228,290,0,114,393,0,3431,81.1
