compound_races,compound_race_concentration,circuit,compound,degree,cv_rmse_s,fuel_slope_s_per_lap,fuel_slope_se,fuel_slope_classical_se,fuel_slope_ci_low,fuel_slope_ci_high,n_laps,n_stints,n_clusters,deg_p1,deg_p1_se,deg_p1_classical_se,deg_p1_ci_low,deg_p1_ci_high,deg_p2,deg_p2_se,deg_p2_classical_se,deg_p2_ci_low,deg_p2_ci_high
3,0.40425531914893614,las_vegas,MEDIUM,1,0.7438982344412738,-0.08390925261113491,0.0024601437591426534,0.001636647980647383,-0.08883751276366894,-0.07898099245860088,2205,131,57,0.04434343774784977,0.0071011243211198906,0.00433436647294579,0.030118176358181453,0.05856869913751808,,,,,
3,0.45454545454545453,losail,HARD,2,0.5575749167578162,-0.08135581996632801,0.0029827584363160235,0.0012274229623705727,-0.0873358905769662,-0.07537574935568983,2292,154,55,0.007336137601893444,0.01753841946575807,0.010462041001602418,-0.02782627633255915,0.04249855153634604,0.0009310864365819072,0.0008109351081607536,0.0004311136168817271,-0.000694740565834129,0.002556913438997943
3,0.41304347826086957,losail,MEDIUM,2,0.5575749167578162,-0.08135581996632801,0.0029827584363160235,0.0012274229623705727,-0.0873358905769662,-0.07537574935568983,2292,154,55,0.03938699982949423,0.012145631123497503,0.007155442785767413,0.015036475548021854,0.0637375241109666,-0.0010455381029350619,0.0003475977699544141,0.00023064659476470657,-0.0017424296725370232,-0.00034864653333310043
3,0.42857142857142855,losail,SOFT,2,0.5575749167578162,-0.08135581996632801,0.0029827584363160235,0.0012274229623705727,-0.0873358905769662,-0.07537574935568983,2292,154,55,0.21061778850803226,0.06261745429267272,0.024299993859885533,0.08507735131759042,0.3361582256984741,-0.00512569155929965,0.0023451373409765445,0.0012882213479262774,-0.009827408842179936,-0.00042397427641936453
3,0.4864864864864865,melbourne,HARD,1,0.7372544891522282,-0.05141499203041988,0.002424921965185577,0.0015988921291446472,-0.05627666785389272,-0.04655331620694704,2314,108,55,-0.003751616590879414,0.005092252018642782,0.0022879512338972916,-0.013960967193290149,0.006457734011531321,,,,,
3,0.5,melbourne,MEDIUM,1,0.7372544891522282,-0.05141499203041988,0.002424921965185577,0.0015988921291446472,-0.05627666785389272,-0.04655331620694704,2314,108,55,0.023773500315831544,0.006234125838397065,0.004047062983312098,0.011274830542471265,0.03627217008919183,,,,,
2,0.5,melbourne,SOFT,1,0.7372544891522282,-0.05141499203041988,0.002424921965185577,0.0015988921291446472,-0.05627666785389272,-0.04655331620694704,2314,108,55,-0.17922452721029103,0.092661754012497,0.0652395931802257,-0.36500015863712276,0.006551104216540732,,,,,
4,0.4583333333333333,mexico_city,HARD,2,0.5510325835241568,-0.03937102313961205,0.0015176643872650895,0.0005582875004955946,-0.04239436563453532,-0.036347680644688775,4458,169,76,0.06146061429558802,0.00800645529771217,0.004023193999096123,0.04551093745109295,0.0774102911400831,-0.000568817361692453,0.00018206374404286003,9.544848337993665e-05,-0.0009315069383659473,-0.00020612778501895876
4,0.2987012987012987,mexico_city,MEDIUM,2,0.5510325835241568,-0.03937102313961205,0.0015176643872650895,0.0005582875004955946,-0.04239436563453532,-0.036347680644688775,4458,169,76,0.04553339337650808,0.006547840434472402,0.003800116935738042,0.032489426342932635,0.058577360410083525,-0.00012069355155119865,0.0001748389398044546,0.00010034581545662526,-0.00046899058013912095,0.00022760347703672365
3,0.6136363636363636,mexico_city,SOFT,2,0.5510325835241568,-0.03937102313961205,0.0015176643872650895,0.0005582875004955946,-0.04239436563453532,-0.036347680644688775,4458,169,76,0.007510964560270672,0.009652789549755863,0.00559320392973563,-0.01171837829392831,0.026740307414469654,0.0012014915145179828,0.00035035078762738414,0.000191832900356244,0.0005035569558290889,0.0018994260732068766
4,0.2631578947368421,miami,HARD,1,0.4969903181929537,-0.05306468706831513,0.0013980211257466348,0.0008075902032522066,-0.0558490874521693,-0.05028028668446096,3297,154,77,0.019366138480080508,0.0033132723716369317,0.001301634596548908,0.012767184649198814,0.025965092310962203,,,,,
4,0.3287671232876712,miami,MEDIUM,1,0.4969903181929537,-0.05306468706831513,0.0013980211257466348,0.0008075902032522066,-0.0558490874521693,-0.05028028668446096,3297,154,77,0.020770067457723584,0.0035390089871995185,0.0017751782004830799,0.013721520192632,0.027818614722815167,,,,,
2,0.6,miami,SOFT,1,0.4969903181929537,-0.05306468706831513,0.0013980211257466348,0.0008075902032522066,-0.0558490874521693,-0.05028028668446096,3297,154,77,0.027084448795532623,0.007959512477941662,0.006273769869156997,0.011231705807091284,0.04293719178397396,,,,,
4,0.4067796610169492,monaco,HARD,1,1.3552821985832657,-0.05637067300842791,0.007514715644555234,0.0019103285060381825,-0.07135459042913458,-0.04138675558772123,3682,114,72,0.013884949333560215,0.008734847143718381,0.002439571592410728,-0.0035318411978023587,0.03130173986492279,,,,,
4,0.3958333333333333,monaco,MEDIUM,1,1.3552821985832657,-0.05637067300842791,0.007514715644555234,0.0019103285060381825,-0.07135459042913458,-0.04138675558772123,3682,114,72,0.015036913501361937,0.009592272489800765,0.002931808710288774,-0.004089534612244344,0.03416336161496822,,,,,
4,0.42857142857142855,monaco,SOFT,1,1.3552821985832657,-0.05637067300842791,0.007514715644555234,0.0019103285060381825,-0.07135459042913458,-0.04138675558772123,3682,114,72,0.05028484676222256,0.023687832713096973,0.011677579526128051,0.003052649825306196,0.09751704369913891,,,,,
4,0.32967032967032966,montreal,HARD,1,0.9056974153326971,-0.03937258301311353,0.0014276056223389059,0.0008408666073228372,-0.04221530898347704,-0.03652985704275001,3418,168,78,0.01874933442619664,0.0038951695791683144,0.0014852899918355578,0.01099306088089461,0.02650560797149867,,,,,
4,0.27631578947368424,montreal,MEDIUM,1,0.9056974153326971,-0.03937258301311353,0.0014276056223389059,0.0008408666073228372,-0.04221530898347704,-0.03652985704275001,3418,168,78,-0.0010153475254632838,0.009359222897238182,0.002751936243035966,-0.019651941257008424,0.017621246206081857,,,,,
1,1.0,montreal,SOFT,1,0.9056974153326971,-0.03937258301311353,0.0014276056223389059,0.0008408666073228372,-0.04221530898347704,-0.03652985704275001,3418,168,78,0.008340616078474028,0.012700277391765573,0.06135744890230713,-0.016948867100530896,0.03363009925747895,,,,,
4,0.3918918918918919,monza,HARD,1,0.5373806155413503,-0.05150585501487592,0.001922348375545703,0.0008494090320104585,-0.055334543620645216,-0.04767716640910663,3376,164,77,0.034721576305900115,0.004318492723881195,0.0014764254987008694,0.02612055263279616,0.04332259997900407,,,,,
4,0.32894736842105265,monza,MEDIUM,1,0.5373806155413503,-0.05150585501487592,0.001922348375545703,0.0008494090320104585,-0.055334543620645216,-0.04767716640910663,3376,164,77,0.030552838518451253,0.003794892659382449,0.0016396590198974605,0.02299465475221763,0.038111022284684874,,,,,
2,0.7857142857142857,monza,SOFT,1,0.5373806155413503,-0.05150585501487592,0.001922348375545703,0.0008494090320104585,-0.055334543620645216,-0.04767716640910663,3376,164,77,0.006467523548608689,0.00849474054570494,0.0053790335290533975,-0.010451218522309808,0.023386265619527186,,,,,
4,0.30526315789473685,red_bull_ring,HARD,1,0.45494627690105105,-0.03141795892244659,0.0010458914396368115,0.0004740711895168178,-0.03350148151219959,-0.02933443633269359,4054,206,76,0.060403008304123595,0.0022464486660339358,0.0012586253732035952,0.05592785307766193,0.06487816353058526,,,,,
